Time,Average,Error,T12,T13,T14
0.0,96.5957232828,5.17202644926,89.2813733333,103.910073232,
1.0,93.8222455808,6.2318846441,85.009029798,102.635461364,
2.0,92.7168814394,7.22461453162,82.4997335859,102.934029293,
3.0,93.6189260101,5.98676956037,85.152355303,102.085496717,
4.0,93.3417934343,6.56805686789,84.0531583333,102.630428535,
5.0,93.6332354798,5.88049239325,85.3169633838,101.949507576,
6.0,91.4524843434,5.08175305493,84.2658002525,98.6391684343,
7.0,93.204622096,6.89523830039,83.4532825758,102.955961616,
8.0,92.2977135101,6.05108672539,83.740184596,100.855242424,
9.0,93.1035482449,6.02315664143,84.5855184343,101.621578056,
10.0,94.2567449495,6.64600860515,84.8578694444,103.655620455,
11.0,90.9799236111,5.74264514037,82.8585969697,99.1012502525,
12.0,89.3552383838,6.15901380833,80.6450775253,98.0653992424,
13.0,90.9752912879,6.09195785447,82.3599618687,99.5906207071,
14.0,91.439404798,5.99139432441,82.9662936869,99.9125159091,
15.0,91.0693728395,5.33214099464,83.5285867284,98.6101589506,
16.0,90.1610353535,5.56475966236,82.2912767677,98.0307939394,
17.0,87.2272695833,6.62918116903,77.8521916667,96.6023475,
18.0,88.2121661616,6.01630412497,79.7038272727,96.7205050505,
19.0,89.5670229167,5.63281782402,81.6010155556,97.5330302778,
20.0,88.3772902778,6.29725041634,79.4716333333,97.2829472222,
21.0,89.7323869444,6.30073723844,80.8217988889,98.642975,
22.0,88.4212588384,6.83078560656,78.7610691919,98.0814484848,
23.0,90.4088228535,5.16114159388,83.1098664141,97.7077792929,
