Time,Average,Error
0.0,-2.54313069059,4.96590380034
1.0,-2.37574502841,6.43622530937
2.0,-4.34308687079,7.47833136448
3.0,-1.06935314078,5.70610435301
4.0,-0.566263822601,5.76883795259
5.0,-1.43880573864,5.28354297791
6.0,-3.80902297348,5.34977039332
7.0,-1.14398297033,6.70158118838
8.0,-0.212741071128,5.23390851503
9.0,-1.65485236111,5.37017212607
10.0,-0.187813220749,5.98763217745
11.0,-0.390958392256,5.65950983328
12.0,0.642294902146,5.95668779571
13.0,-1.18813236672,5.93936205244
14.0,-5.13576017391,6.27725930308
15.0,-0.177594444444,4.87009096119
16.0,0.669329761153,5.45163115319
17.0,-2.79196986076,6.30899521301
18.0,-1.34306802048,5.84846490519
19.0,-0.201183130144,5.52206918344
20.0,-1.55449463404,6.46782343885
21.0,1.33554925926,5.68030177887
22.0,-1.28354880051,6.38064164667
23.0,-0.962626595235,4.96956905857
